"SampleID","Gene1","Gene11"
"Sample1",1.82909267162904,2.13545233150944
"Sample2",1.82744865259156,1.00231163948774
"Sample3",1.73769090184942,1.28755620634183
"Sample4",1.30488949548453,2.73193416604772
"Sample5",1.27761212689802,1.16512212110683
"Sample6",1.4660681989044,1.48914136411622
"Sample7",1.93192490050569,2.96308631496504
"Sample8",1.53194528073072,2.15516255889088
"Sample9",2.71565543068573,1.49745272891596
"Sample10",1.0916623333469,2.22990790754557
"Sample11",1.88440014841035,1.06351464148611
"Sample12",2.59784969128668,1.29284708853811
"Sample13",1.24379851995036,2.40614594798535
"Sample14",2.12189596751705,1.13112141704187
"Sample15",3.41306277923286,2.24361412459984
"Sample16",1.25506330048665,2.87465473078191
"Sample17",2.50661572860554,1.17578922957182
"Sample18",2.7900907183066,2.94560701865703
"Sample19",2.74892555177212,1.05202142102644
"Sample20",2.33023038925603,2.45045590400696
"Sample21",-2.81031867815182,-2.09258721675724
"Sample22",-2.23206072440371,-1.86763519002125
"Sample23",-2.45123271085322,-1.25453790742904
"Sample24",-1.37071992224082,-1.89087364077568
"Sample25",-2.1029673172161,-1.52469558548182
"Sample26",-1.3798712939024,-1.75374167598784
"Sample27",-1.37522098096088,-2.3779431884177
"Sample28",-1.41131535777822,-2.21560703078285
"Sample29",-2.12033662479371,-2.59582508914173
"Sample30",-1.4910496827215,-1.294439220801
"Sample31",-1.74155773688108,-1.78633969835937
"Sample32",-1.57963519729674,-1.48780397232622
"Sample33",-2.9987504533492,-1.87496638251469
"Sample34",-2.04936685180292,-5.44820197438821
"Sample35",-2.55976222967729,-1.52888319268823
"Sample36",-2.24036692455411,-1.90144041227177
"Sample37",-1.77445799345151,-2.3077459121123
"Sample38",-2.29640418151394,-1.97006873041391
"Sample39",-2.77772915130481,-1.36846410483122
"Sample40",-2.51276105456054,-1.94745486136526
"Sample41",0.738735641092147,-1.41237959647162
"Sample42",1.36030067192023,-0.561925990203937
"Sample43",-0.278682646693058,1.25938469033404
"Sample44",2.11296191739344,1.68295173466609
"Sample45",-4.58845459869377,-3.29545799247075
"Sample46",0.669304708766847,0.18222369192746
"Sample47",0.686173474685395,3.03492431994887
"Sample48",-1.50694241790856,-2.46640133293407
"Sample49",-2.24219392601227,0.817063519787869
"Sample50",0.0490346444779491,-1.40789625967456
"Sample51",-0.734620648901265,1.73443012067953
"Sample52",2.87278328169752,0.91541945457449
"Sample53",2.08826772963192,1.30738890149254
"Sample54",0.469239913052013,0.205222859787958
"Sample55",-1.78325835760426,1.46820233806818
"Sample56",-0.885477884516,2.34687469813471
"Sample57",2.75944428694213,3.34262162627458
"Sample58",-1.8191159898853,-0.0482715930734105
"Sample59",2.86600831514877,-3.82338685356509
"Sample60",-0.410872605156214,0.0535942078097859
