"SampleID","Gene1","Gene2"
"Sample1",1.21976217672389,0.966088147006577
"Sample2",1.38491125525836,1.39101254267085
"Sample3",2.27935415707456,0.98699777584638
"Sample4",1.53525419571229,1.13555438535443
"Sample5",1.56464386758047,1.18748036607537
"Sample6",2.35753249344164,0.656653344628793
"Sample7",1.7304581029946,1.91889352224726
"Sample8",0.867469382696733,1.57668655891826
"Sample9",1.15657357405324,0.930931531494026
"Sample10",1.27716901495002,2.12690746053496
"Sample11",2.11204089871973,1.71323211073841
"Sample12",1.67990691352868,1.35246425850386
"Sample13",1.70038572529703,1.94756283052251
"Sample14",1.55534135797256,1.93906674376652
"Sample15",1.22207943262296,1.91079054081874
"Sample16",2.39345656840154,1.84432012705005
"Sample17",1.74892523911462,1.77695882676879
"Sample18",0.516691421685181,1.46904414471164
"Sample19",1.85067795078184,1.34701866813004
"Sample20",1.26360429613603,1.30976449949381
"Sample21",1.89394707874466,1.96009492071708
"Sample22",1.4032195142392,1.52611813909369
"Sample23",1.71014039179159,2.00250558765908
"Sample24",0.654200704075173,0.419007499614897
"Sample25",0.843204948949483,0.796690711809513
"Sample26",1.95543723142096,2.11447595116714
"Sample27",1.85932864466796,1.85939745538364
"Sample28",1.70166144164935,1.779891452571
"Sample29",1.80423648424109,1.50359776844986
"Sample30",2.48492318038934,2.15676620346988
"Sample31",1.30631342044535,1.34104224662349
"Sample32",0.578426870858109,0.970582176552081
"Sample33",2.02214342997638,1.86143285149791
"Sample34",0.96531558814978,0.827985956713578
"Sample35",1.32646760308762,1.48382485757009
"Sample36",1.68655261213561,1.23083278592552
"Sample37",1.7937366652104,2.13098851713404
"Sample38",0.916084305202225,1.0111302270427
"Sample39",1.62706695387639,1.57333641851589
"Sample40",1.46759293088933,1.45029827248891
"Sample41",1.70491297151564,1.20311764307715
"Sample42",1.53268020155651,1.8424055122592
"Sample43",1.96567311971953,1.35315725106333
"Sample44",1.33517120866438,1.58196510784541
"Sample45",1.82878799125043,1.00682668693938
"Sample46",1.54649699127524,1.6610688155141
"Sample47",1.02932171864548,1.46774853909402
"Sample48",1.38036256573519,0.795837273155486
"Sample49",1.929731980122,1.29211299039335
"Sample50",1.10504064588881,2.42113086926176
"Sample51",1.10610320376891,1.55426080931152
"Sample52",1.45456819047136,2.08154452169301
"Sample53",1.50431957650341,0.76838129826691
"Sample54",2.1359273363563,1.38639617367292
"Sample55",0.949529822489798,2.26031433632673
"Sample56",2.14146966264898,1.59068621138209
"Sample57",0.415073221578329,2.26395981035232
"Sample58",0.77048532836371,1.66928641440927
"Sample59",1.84458290044984,1.05871748632827
"Sample60",2.31976136299616,0.741082249653778
